"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"60","GB49262",14,28,30,37,22,13,46,47,34,22,20,34,-0.738839132763384,2.0058052688759,-3.34097817318921,0.00496565203424258,0.729381173335685,-4.28044133601934
"61","GB49870",187,598,328,433,260,210,151,345,184,98,132,244,0.562288850171311,5.10368491847667,3.03956137107615,0.00899607840886969,0.729381173335685,-3.91405931328019
"62","GB49928",21,81,49,40,55,50,37,25,33,21,14,18,0.757068765083078,2.28790719800888,3.10528591066055,0.00790382842567373,0.729381173335685,-4.28483660949276
"63","GB50026",1608,4523,5974,1038,1467,1040,611,793,2822,211,248,613,1.62154024381721,7.33270277771091,3.31287872336068,0.00524863720734958,0.729381173335685,-3.99267914013359
"64","GB50119",175,836,913,741,707,248,873,1479,958,618,350,671,-0.808810178709319,6.50643039930194,-3.03964592816604,0.00899458124485961,0.729381173335685,-3.96856764292722
"65","GB50856",137,488,245,253,266,221,140,225,157,104,114,153,0.576833437375623,4.80553176726231,3.90823744992286,0.00163078703532119,0.729381173335685,-3.66830109959705
"66","GB50862",3,8,8,16,8,5,9,14,17,7,11,25,-1.02074512047212,0.559055479973416,-3.51064041928507,0.0035543263780358,0.729381173335685,-4.38907386071718
"67","GB51081",80,209,190,179,178,112,160,180,252,118,123,234,-0.408761285370451,4.55889815247891,-3.52099453053115,0.00348261123063333,0.729381173335685,-3.80007122780552
"68","GB51238",335,589,662,635,481,345,309,409,356,178,228,442,0.468220744104728,5.82938672790289,3.2757562939929,0.00564740173931734,0.729381173335685,-3.82924704836339
"69","GB51423",7,12,9,15,19,9,14,26,21,13,10,24,-0.846084949429874,1.07144237264111,-3.36074104851275,0.00477583236203797,0.729381173335685,-4.36587623394713
"70","GB51480",282,423,453,449,325,211,329,499,587,319,321,595,-0.533262133180136,5.81389510967322,-2.98448436671588,0.0100255604794052,0.729381173335685,-3.92333095885919
"71","GB51517",90,292,176,199,183,177,101,155,175,62,64,153,0.428732626689937,4.35206557734017,3.08707166108566,0.00819261221743059,0.729381173335685,-3.97751549613409
"72","GB51993",129,291,310,292,267,202,296,352,411,173,162,463,-0.49543907893896,5.26622771839464,-3.66794326269356,0.00260892791107266,0.729381173335685,-3.68022089245844
"73","GB52011",24,54,51,65,34,32,51,57,92,44,52,52,-0.664920490937306,2.83319446909045,-3.2812632244765,0.00558638558327915,0.729381173335685,-4.18376027103506
"74","GB52626",4,15,11,8,15,5,10,15,18,16,9,23,-0.892578164183623,0.779056564846537,-3.19450839955476,0.00662900168885028,0.729381173335685,-4.40042150706614
"75","GB52735",75,255,179,193,122,92,80,133,127,48,64,80,0.522069223891175,3.99272364907154,3.30058469303992,0.00537747527595819,0.729381173335685,-3.98080166982112
"76","GB52904",44,196,90,128,116,102,68,71,81,56,38,63,0.557103414433644,3.55188037785313,3.13364600884073,0.00747418762397361,0.729381173335685,-4.10152002389025
"77","GB53151",15,41,68,47,33,19,47,52,83,22,41,84,-0.825272668850153,2.59010161512489,-3.3456287845285,0.00492031379006576,0.729381173335685,-4.20839961300556
"78","GB53173",107,422,227,214,222,268,102,205,179,96,99,164,0.519610535430577,4.67919700520537,2.9861475579321,0.00999283107004586,0.729381173335685,-3.96686297899753
"79","GB53358",872,1903,2057,1440,1778,1125,1731,2206,2178,1033,1191,2977,-0.474551184884331,7.88487878315193,-3.03384904511334,0.00909779412618517,0.729381173335685,-4.11344725779156
"80","GB53389",30,199,94,115,85,71,48,88,68,32,32,40,0.662045184254821,3.24248840433186,3.08354117047306,0.00824978751362496,0.729381173335685,-4.16356777591538
"81","GB53428",45,329,87,104,73,118,57,51,49,26,43,46,1.03944054717867,3.31560935410877,3.27750311777025,0.00562797529644107,0.729381173335685,-4.11833830234821
"82","GB54316",38,180,210,116,76,62,224,490,210,80,57,277,-1.10300510906658,4.26031764114202,-3.18515011215277,0.00675247808415681,0.729381173335685,-3.96585893423047
"83","GB54592",109,413,237,261,270,192,100,223,187,111,117,181,0.435214236371482,4.7534483397164,3.00345007782865,0.00965854091586527,0.729381173335685,-3.94983418698721
"84","GB54664",92,620,276,285,281,255,115,224,222,102,107,174,0.599586756849566,4.86192396610842,3.29637244822302,0.00542234278090652,0.729381173335685,-3.84746156214452
"85","GB54714",116,423,297,274,221,201,135,224,238,74,86,138,0.549853897101795,4.7257286351035,3.77304698666086,0.00212332319650063,0.729381173335685,-3.71908631207554
"86","GB54752",56,133,88,65,118,63,28,34,54,41,30,51,0.880603376406131,3.06318621916083,3.73829242821307,0.00227281232357632,0.729381173335685,-4.07470909002649
"87","GB54892",18,41,15,28,35,26,7,20,12,5,13,14,0.946640182720424,1.33557272985404,2.99271796673837,0.00986456314055816,0.729381173335685,-4.38519500894872
"88","GB55004",225,460,244,200,358,287,177,143,164,131,120,158,0.738252172616654,4.9128448277063,3.1193688757926,0.00768749580969556,0.729381173335685,-3.90612609945596
"89","GB55204",1405,3099,14078,9000,2051,1295,15654,54032,9373,18142,2883,19263,-2.3076436045454,9.98624515020282,-3.71074277885349,0.00239887103075119,0.729381173335685,-4.17893963195049
"90","GB55206",1302,5606,9018,7327,1053,1734,16868,18435,7728,7858,2982,10439,-1.81265140756047,9.61136339524063,-3.64340952268971,0.00273764483849678,0.729381173335685,-4.15496519495517
"91","GB55207",749,5860,6777,4078,1449,860,16506,7931,6533,3594,1542,4981,-1.48200537486663,9.01309257886374,-2.96994519833368,0.0103162172574978,0.729381173335685,-4.22095242331469
"92","GB55211",133,1093,2689,908,122,491,6231,6398,1656,2124,457,1549,-2.283055726388,7.29012816572743,-3.15798259522732,0.00712406912784183,0.729381173335685,-4.03353345793017
"93","GB55299",47,154,90,142,125,95,52,92,77,46,53,62,0.508873275997341,3.55084530305905,3.08041408149702,0.00830076039699931,0.729381173335685,-4.11359192143907
"94","GB55434",55,323,140,195,164,130,92,99,105,65,73,78,0.654456380971623,4.04009893149434,3.57630605929256,0.00312351367415215,0.729381173335685,-3.90291769220199
"95","GB55494",65,235,111,113,107,112,67,91,78,34,35,40,0.864799896174608,3.53205946660712,4.04856984877268,0.00124173782803119,0.729381173335685,-3.92393432610876
"96","GB55568",299,689,788,689,549,433,658,649,872,395,438,750,-0.362652166322825,6.39983295640345,-2.99316066479302,0.00985597949977479,0.729381173335685,-3.96869715476536
"97","GB55707",249,836,552,515,438,291,488,606,604,384,374,587,-0.406769307759412,6.10848942696685,-3.31539291142962,0.00522267232274154,0.729381173335685,-3.83200938013054
"98","GB55717",183,366,587,515,459,264,756,714,563,295,253,596,-0.618693950938159,5.96076202319041,-3.06973163658589,0.00847725695004223,0.729381173335685,-3.90424983646222
"99","GB55736",65,352,166,205,106,64,39,115,108,34,40,59,0.967368125940065,3.69670938974646,3.39486117907482,0.00446508560920779,0.729381173335685,-4.02596219520634
"100","GB55884",5,33,16,17,16,13,9,13,7,2,7,6,0.924450840551887,0.594539228624702,3.06907588045305,0.00848821187724357,0.729381173335685,-4.42236876871366
